episode_id,season_id,episode_number,title,air_date,main_challenge,main_challenge_type,mini_challenge,runway_theme,lip_sync_song_id,lip_sync_track,eliminated_id,power_up_used,mini_challenge_winner_prize,maxi_challenge_prize,synopsis,untucked_notes
US02E02,US02,2,Starbootylicious,2010-02-08,Burlesque revue: earn cash performing and selling gift certificates,Talent Show,Turn RuPaul doll from lady to a tramp,High-Class Drag,S0008,main,Q0020,-,-,"A $1,500 gift certificate to Sequin Queen and immunity from next week's elimination","In teams the queens give Mini-Ru dolls a lady-to-tramp makeover, then earn cash with burlesque street and club performances. Dita Von Teese and Kim Coles judge the High-Class Drag runway. Sahara Davenport wins; Nicole Paige Brooks is sent home over Raven.",-
US02E03,US02,3,Country Queens,2010-02-15,Country Queens girl-group performance,Girl Group,"""Chicken or what?"" eating contest",Denim and Diamond Couture,S0209,main,Q0019,-,-,A collection of designer bags from M. Clifford Designs and immunity from next week's elimination,"After a southern-style eating contest, the queens act as feuding families in a commercial for Disco Shortening and serve Country Realness on the runway. Kathy Najimy and Tanya Tucker guest judge. Tyra Sanchez earns her first win; Mystique Summers Madison is eliminated against Raven.",-
US02E04,US02,4,The Snatch Game,2010-02-22,Snatch Game,Snatch Game,The Queen is Right,Personal Style,S0010,main,Q0018,-,A phone call home,"A $1,000 shopping spree from Billion Dollar Babes and immunity from next week's elimination","The first-ever Snatch Game has the queens impersonating pop-culture figures, with Niecy Nash and Lisa Rinna judging. Tatianna wins the challenge as Britney Spears. Sonique lands in the bottom with Morgan McMichaels and is eliminated.",-
US02E05,US02,5,Here Comes the Bride,2010-03-01,Design a wedding dress; pose as bride and groom in a photoshoot,Design,Decorate a box in your drag style,-,S0011,main,Q0017,-,-,"A five night vacation at the Hyatt in Palm Springs, CA and immunity from next week's elimination","The queens design wedding dresses and pose as both bride and groom in a wedding photoshoot. Mathu Andersen and Martha Wash guest judge. Tyra Sanchez wins again, while Morgan McMichaels is eliminated after lip syncing to Martha Wash's own song.",-
US02E06,US02,6,Rocker Chicks,2010-03-08,"Live rock performance of ""LadyBoy"" by RuPaul",Singing,Give a wig a glam rock makeover,-,S0012,main,Q0016,-,-,"A $1,000 shopping spree","The queens give live glam-rock performances of RuPaul's LadyBoy, judged by Terri Nunn and Henry Rollins. Jessica Wild wins the challenge. Sahara Davenport is eliminated after an emotional lip sync against Jujubee.",-
US02E07,US02,7,Once Upon a Queen,2010-03-22,Pitch and promote a concept for an autobiography,Acting,Reading is Fundamental,-,S0013,main,Q0015,-,-,a shopping spree at L.A. Eyeworks,"Each queen develops and promotes a concept for her own autobiography, with authors Jackie Collins and Gigi Levangie judging. Raven takes her first win; Jessica Wild is eliminated after facing Tatianna.",-
US02E08,US02,8,Golden Gals,2010-03-29,Transform older men into drag mothers and lip-sync a duet,Makeover,Match contestants with their baby pictures,-,S0014,main,Q0014,-,-,"a 4-day 3-night stay and massage at East Canyon Hotel in Palm Springs, CA","The queens transform older gay gentlemen into their drag mothers and perform lip-sync duets with them. Debbie Reynolds, Cloris Leachman and Toni Ko guest judge. Raven wins a second consecutive challenge; Pandora Boxx is eliminated against Jujubee.",-
US02E09,US02,9,The Diva Awards,2010-04-12,"Create three looks for ""Diva Award"" ceremonies",Design,Style/accessorize one of four identical dresses,-,S0015,main,Q0013,-,-,a feature photo spread on Paper Magazine,"The final four create three looks each for the Diva Awards, presented in the style of a classic NYC ball. Tatum O'Neal and Marissa Jaret Winokur guest judge. Tyra Sanchez wins; Tatianna is eliminated after a lip sync with Jujubee.",-
US02E10,US02,10,The Main Event Clip Show,2010-04-19,-,Clip Show,-,-,-,main,-,-,-,-,Past queens including Shannel and Ongina review the season in a recap clip show featuring deleted scenes and unaired casting footage.,-
US02E11,US02,11,Grand Finale,2010-04-26,Shoot a music video for 'Jealous of My Boogie' and a Dynasty-inspired scene,Finale,-,-,S0210,main,Q0012,-,-,-,"The final three shoot a music video for Jealous of My Boogie and act in a Dynasty-inspired scripted scene with RuPaul. Jujubee is cut after the first round, and Tyra Sanchez is crowned the winner over runner-up Raven.",-
US02E12,US02,12,Reunion,2010-04-26,-,Reunion,-,-,-,main,-,-,-,-,"The season 2 cast reunites and airs grievances, including a lengthy confrontation between Tatianna and Raven. Sonique emotionally comes out as transgender, and Pandora Boxx is named Miss Congeniality.",-
US03E01,US03,1,Casting Extravaganza,2011-01-24,-,Other,-,-,-,main,-,-,-,-,"In ""Casting Extravaganza,"" the queens take on the week's challenge.",-
US03E02,US03,2,The Queen Who Mopped Xmas,2011-01-24,Holiday thrift-store drag,Design,Christmas Card Photo Shoot,-,S0017,main,Q0033,-,An extra $25 to spend at the thrift store.,"A $2,000 gift card to Sequin Queen and immunity from next week's elimination","The maxi challenge: Holiday Thrift Store Drag. Guest judges include Bruce Vilanch, Mike Ruiz and Vanessa Williams. Raja wins the challenge, Venus D-Lite is eliminated.",-
US03E03,US03,3,Queens in Space,2011-01-31,Act in sci-fi movie spoofs,Acting,Psychic Challenge,-,S0211,main,Q0032,-,-,A set of hand-sculpted silicone breastplates by Boobs For Queens,"For the maxi challenge, the queens act in Sci-Fi movie spoofs. Guest judges include Lily Tomlin and Alessandra Torresani. Phoenix is eliminated.",-
US03E04,US03,4,Totally Leotarded,2011-02-07,Produce a fitness video with Susan Powter,Acting,Making Letoards from Duct Tapes,-,S0019,main,Q0031,-,-,"A $2,500 gift card to Gilt Groupe and immunity from next week's elimination","For the maxi challenge, the queens produce a fitness video with workout expert Susan Powter. Guest judges include La Toya Jackson and Susan Powter. Alexis Mateo wins the challenge, Mimi Imfurst is eliminated.",-
US03E05,US03,5,QNN News,2011-02-14,Produce a morning news show,Acting,Scandalous Red Carpet Photo,-,S0020,main,Q0030,-,-,"A $2,000 gift card to Wig USA and immunity from next week's elimination","For the maxi challenge, the queens produce a morning news show. Guest judges include Chloe Sevigny and Debbie Matenopoulos. Manila Luzon wins the challenge, India Ferrah is eliminated.",-
US03E06,US03,6,The Snatch Game,2011-02-21,Snatch Game,Snatch Game,Shit Rupaul Says,-,S0021,main,Q0029,-,A phone call home,A cruise for 2 to the Bahamas courtesy of Al and Chuck Travel,"The queens play the Snatch Game, impersonating celebrities for laughs. Guest judges include Aisha Tyler and Amber Rose. Stacy Layne Matthews wins the challenge, Mariah is eliminated.",-
US03E07,US03,7,"Face, Face, Face of Cakes",2011-02-28,Create a cake-inspired couture garment and decorate a doll cake,Design,Nude photo shoot with Deborah Anderson,-,S0022,main,Q0028,-,-,A shopping spree at l.a. Eyeworks,"For the maxi challenge, the queens create a cake inspired couture garment and decorate a doll cake that expresses their true drag persona. Guest judges include Eliza Dushku and Sara Rue. Raja wins the challenge, Stacy Layne Matthews is eliminated.",-
US03E08,US03,8,Ru Ha Ha,2011-03-07,Perform a stand-up routine before a live audience,Comedy,Reading is Fundamental,-,S0023,main,Q0027,-,An extra 10 minutes with Rita Rudner and choose the line up for the maxi challenge.,"An original, custom designed gown from Miami Elite Designs","For the maxi challenge, the queens perform a stand-up routine in front of a live audience. Guest judges include Rita Rudner and Arden Myrin. Shangela wins the challenge, Delta Work is eliminated.",-
US03E09,US03,9,"Life, Liberty & the Pursuit of Style",2011-03-14,Film a patriotic message for US military overseas,Acting,Decorate bras using rhinestones,-,S0024,main,-,-,An extra 5 minutes to film,A three-piece luxury luggage set from Antler Luggage,The maxi challenge: Film a patriotic message addressed to US military personnel overseas. Guest judges include Cheryl Tiegs and Johnny Weir. Alexis Mateo wins the challenge.,-
US03E10,US03,10,RuPaul-a-Palooza,2011-03-21,Record and perform an interpretation of RuPaul's 'Superstar',Song/Verse,Ru-sical chairs,-,S0025,main,Q0026,-,First choice at genre and order of queens for their choice,"An original, custom gown by Marco Marco","For the maxi challenge, the queens record an interpretation of ""Superstar"" by RuPaul and perform it before a live audience. Guest judges include Jeffrey Moran, Jody Watley and Carmen Electra. Raja wins the challenge, Carmen Carrera is eliminated.",-
US03E11,US03,11,RuPaul's Hair Extravaganza,2011-03-28,"Design three looks for a hair show, one made entirely from wigs",Design,Beach-themed headpiece,-,S0026,main,Q0021,-,-,An Alaskan cruise for 2 from Al and Chuck Travel,"For the maxi challenge, the queens design three outfits for a hair show, featuring one outfit made entirely from wigs. Guest judges include Wayne Brady and Fantasia. Yara Sofia wins the challenge, Shangela is eliminated.",-
US03E12,US03,12,Jocks in Frocks,2011-04-04,Turn a straight jock into a drag sister and perform a safe-sex cheer,Makeover,Dunk-a-Queen,-,S0027,main,Q0026,-,-,Manila and Fuchsia each received a cruise for 2 to the Bahamas from Al & Chuck Travel,"For the maxi challenge, the queens turn a straight jock into your glamorous drag sister and perform a cheer supporting safe sex. Guest judges include Mike Ruiz, Margaret Cho and Sharon Osbourne. Manila Luzon wins the challenge, Carmen Carrera is eliminated.",-
US03E13,US03,13,Make Dat Money,2011-04-11,"Three runway looks plus an opening number to ""Just Wanna Dance""",Talent Show,Create/market a drag product,-,S0028,main,Q0025,-,-,A collection of fine jewelry from Kathy Ireland Jewelry,"The maxi challenge: Showcase three distinct looks on the runway and perform a opening number to La Toya Jackson's song ""Just Wanna Dance"". Guest judges include Mike Ruiz, La Toya Jackson and Gigi Levangie Grazer. Manila Luzon wins the challenge, Yara Sofia is eliminated.",-
US03E14,US03,14,Superstar Edition,2011-04-18,-,Clip Show,-,-,-,main,-,-,-,-,"In ""Superstar Edition,"" the queens take on the week's challenge.",-
US03E15,US03,15,Grand Finale,2011-04-25,Film the music video for RuPaul's 'Champion',Finale,-,-,S0029,main,Q0024,-,-,-,"The maxi challenge: Participate in the filming of the music video for RuPaul's song ""Champion"". Alexis Mateo is eliminated.",-
US03E16,US03,16,Reunited!,2011-05-02,-,Reunion,-,-,-,main,-,-,-,-,"In ""Reunited!,"" the queens take on the week's challenge.",-
US04E01,US04,1,RuPocalypse Now!,2012-01-30,Design a post-apocalyptic couture look from looted materials,Design,Photoshoot with Mike Ruiz,Apocalyptic Couture,S0030,main,Q0046,-,-,A custom designed gown from Sequin Queen and immunity from next week's elimination,The maxi challenge is the queens design a post-apocalyptic couture outfit from items looted from drag queen zombies (AKA Queens from previous seasons). The runway category is Apocalyptic Couture. Guest judges include Cassandra Peterson and Mike Ruiz. Alisa Summers is eliminated.,-
US04E02,US04,2,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Create a wrestling storyline and perform a match in the ring,Acting,Create “badonkadonk” with padding in 30 minutes,Girly Girl Couture,S0031,main,Q0045,-,-,A selection of wigs from Risqué Wigs,"For the maxi challenge, the queens create a wrestling storyline, with ""backstage"" clips and perform an entertaining match in the ring. The runway category is Girly Girl Couture. Guest judges include Rick Fox and John Salley. Lashauwn Beyond is eliminated.",-
US04E03,US04,3,Glamazons vs Champions,2012-02-13,Produce and act in infomercials for RuPaul's Glamazon and Champion,Acting,Create hats with butterfly-shaped accessories,Platinum and Gold,S0032,main,Q0044,-,-,A custom jewelry set from Fierce Drag Jewels,"For the maxi challenge, the queens produce and act in TV infomercials for RuPaul's *Glamazon* and *Champion. The runway category is Platinum and Gold. Guest judges include Amber Riley and Natalie Cole. Sharon Needles wins the challenge, The Princess is eliminated.",-
US04E04,US04,4,Queens Behind Bars,2012-02-20,"In two teams, star in episodes of a sitcom",Acting,"Paint a partner's face, while handcuffed",Red Carpet,S0033,main,Q0043,-,-,A cruise courtesy of Al & Chuck Travel,"The maxi challenge: In two teams, star in two different episodes of a sitcom. The runway category is Red Carpet. Guest judges include Nicole Sullivan and Max Mutchnick. Latrice Royale wins the challenge, Madame LaQueer is eliminated.",-
US04E05,US04,5,Snatch Game,2012-02-27,Snatch Game,Snatch Game,Beat the Clock,Best Drag,S0034,main,Q0038,-,-,A custom gown by Marco Marco,"The maxi challenge: Celebrity impersonations on the Snatch Game. The runway category is Dress to Impress. Guest judges include Loretta Devine and Ross Mathews. Chad Michaels wins the challenge, Kenya Michaels is eliminated.",-
US04E06,US04,6,Float Your Boat,2012-03-05,Create and wear a parade float based on a pride-flag color,Design,Wet t-shirt contest,Pride Parade Extravaganza,S0035,main,Q0042,-,-,A cruise courtesy of Al & Chuck Travel,"For the maxi challenge, the queens create and wear a parade float based on a color of the pride flag. The runway category is Pride Parade Extravaganza. Guest judges include Kelly Osbourne and Pauley Perrette. Willam wins the challenge, Milan is eliminated.",-
US04E07,US04,7,Dragazines,2012-03-12,Create a magazine cover capturing an assigned theme,Design,Reading is Fundamental,Dragazines,S0212,main,Q0041,-,-,A cruise to the Bahamas courtesy of Al & Chuck Travel,"For the maxi challenge, the queens create a magazine cover that captures the assigned theme of magazine. The runway category is Dragazines. Guest judges include Regina King and Pam Tillis. Phi Phi O'Hara wins the challenge, Jiggly Caliente is eliminated.",-
US04E08,US04,8,Frenemies,2012-03-19,Live singing duet between paired queens,Singing,Polygraph test,-,S0213,main,Q0040,-,-,"A custom corset, skirt and brassiere from Versatile Corsets","The maxi challenge: Live singing duet between the pairs of queens with the least in common. Guest judges include Lucian Piane, Pamela Anderson and Jennifer Tilly.",-
US04E09,US04,9,Frock the Vote!,2012-03-26,Presidential debate as the 2012 Wig Party candidate,Acting,Design Absolut Vodka-inspired shoe,Inaugural Drag,S0038,main,Q0039,-,-,"A $5,000 gift certificate from Interior Illusions Home","The maxi challenge: Participate in a Presidential debate as the 2012 Wig Party candidate. The runway category is Inaugural Drag. Guest judges include Dan Savage and Jeffry Moran. Sharon Needles wins the challenge, Dida Ritz is eliminated.",-
US04E10,US04,10,DILFs: Dads I'd Like To Frock,2012-04-02,Turn a DILF into a pregnant drag diva,Makeover,Give a teddy bear a makeover,Pregnant Makeover,S0039,main,Q0038,-,-,A trip for two to Las Vegas courtesy of Al & Chuck Travel,"For the maxi challenge, the queens turn a DILF into a pregnant drag diva. The runway category is Pregnant Makeover. Guest judges include Jesse Tyler Ferguson and Jennifer Love Hewitt. Phi Phi O'Hara wins the challenge, Kenya Michaels is eliminated.",-
US04E11,US04,11,The Fabulous Bitch Ball,2012-04-09,Design three outfits for the Bitch Ball,Design,Everybody Loves Puppets,"Daytime Dog Park, Pooch in a Purse, and Canine Couture",S0040,main,Q0037,-,-,Crystal flower body jewelry made by Marianna Harutunian,"For the maxi challenge, the queens design three outfits for the Bitch Ball. Guest judges include Rose McGowan and Wynonna Judd. Sharon Needles wins the challenge, Latrice Royale is eliminated.",-
US04E12,US04,12,RuPaul Rewind,2012-04-16,-,Clip Show,-,-,-,main,-,-,-,-,"In ""RuPaul Rewind,"" the queens take on the week's challenge.",-
US04E13,US04,13,The Final Three,2012-04-23,Shoot the music video for RuPaul's 'Glamazon',Finale,-,-,-,main,-,-,-,-,"For the maxi challenge, the queens shoot the music video for RuPaul's ""Glamazon"" with a dramatic scene.",-
US04E14,US04,14,Reunited,2012-04-30,-,Reunion,-,-,-,main,-,-,-,-,"In ""Reunited,"" the queens take on the week's challenge.",-
US05E01,US05,1,RuPaullywood or Bust,2013-01-28,"Make a dress that brings out Hollywood realness and glamour, out of materials found out of dumpster dive.",Design,Underwater photoshoot,-,S0041,main,Q0060,-,-,A custom gown by Marco Marco and immunity for next week's elimination,"In ""RuPaullywood or Bust,"" the queens take on the week's challenge.",-
US05E02,US05,2,Lip Synch Eleganza Extravaganza,2013-02-04,Lip sync and re-enact a famous scene from a past season of RuPaul's Drag Race Untucked,Acting,Lip-synch with only your mouth visible,Best Drag,S0042,main,Q0059,-,-,A custom latex garment from Syren Latex and immunity for next week's elimination,"In ""Lip Sync Extravaganza Eleganza,"" the queens take on the week's challenge.",-
US05E03,US05,3,Draggle Rock,2013-02-11,"In teams, star in children's TV Shows",Acting,Create mannequin dolls,Think Pink,S0043,main,Q0058,-,-,Wig wardrobe from New Attitude Wigs and immunity from next week's elimination,"In ""Draggle Rock,"" the queens take on the week's challenge. Monica Beverly Hillz is eliminated.",-
US05E04,US05,4,Black Swan: Why It Gotta Be Black?,2013-02-18,Perform in different acts of a ballet about RuPaul's life,Talent Show,Soul Train dance-off,Divalicious,S0205,main,Q0057,-,-,A custom feather headpiece from Mother Plucker and immunity for next week's elimination,"In ""Black Swan: Why It Gotta Be Black?,"" the queens take on the week's challenge.",-
US05E05,US05,5,Snatch Game,2013-02-25,Snatch Game,Snatch Game,Style a cuddler into a red-carpet look,Deadliest Snatch,S0045,main,Q0055,-,-,Custom jewel package from Fierce Drag Jewels,"In ""Snatch Game,"" the queens take on the week's challenge.",-
US05E06,US05,6,Can I Get An Amen?,2013-03-04,"Record a ""We Are the World""-inspired anthem titled ""Can I Get An Amen?""",Singing,Apply drag makeup in the dark,Favorite Body Part,S0046,main,Q0054,-,-,A Flight 001 luggage package,"In ""Can I Get An Amen?,"" the queens take on the week's challenge.",-
US05E07,US05,7,RuPaul Roast,2013-03-11,"Roast RuPaul, as well as the judges and fellow queens, in front of a live audience",Comedy,Reading is Fundamental,-,S0047,main,-,-,-,A custom gown from Sequin Queen,"In ""RuPaul Roast,"" the queens take on the week's challenge.",-
US05E08,US05,8,Scent of a Drag Queen,2013-03-18,"Create, market, and film a commercial for a signature fragrance",Acting,Whatcha Packin',Company spokeswoman,S0048,main,Q0053,-,A phone call home,A selection of handmade corsets from Corset Connection,"In ""Scent of a Drag Queen,"" the queens take on the week's challenge.",-
US05E09,US05,9,Drama Queens,2013-04-01,Star in a faux Latin telenovela alongside Wilmer Valderrama,Acting,"Create fake sob stories, cry in front of RuPaul",Spanish Telenovela Realness,S0049,main,Q0052,-,-,A pair of fur coats from Fabulous-Furs,"In ""Drama Queens,"" the queens take on the week's challenge.",-
US05E10,US05,10,Super Troopers,2013-04-08,Military-to-drag makeover with color guard performance,Makeover,Drag booty camp with fitness trainer,-,S0206,main,Q0051,-,-,A shopping spree at American Apparel,"In ""Super Troopers,"" the queens take on the week's challenge.",-
US05E11,US05,11,Sugar Ball,2013-04-15,Design three outfits for the Sugar Ball,Design,Everybody Loves Puppets,"Super Duper Sweet 16, Sugar Mama: Executive Realness, and Candy Couture",S0051,main,Q0050,-,-,A private portrait session with Austin Young,"In ""Sugar Ball,"" the queens take on the week's challenge.",-
US05E12,US05,12,"The Final Three, Hunty",2013-04-22,"Star in RuPaul's music video ""The Beginning"" and shoot a courtroom scene.",Finale,-,-,-,main,-,-,-,-,"In ""The Final Three, Hunty,"" the queens take on the week's challenge.",-
US05E13,US05,13,Countdown to the Crown,2013-04-29,-,Clip Show,-,-,-,main,-,-,-,-,"In ""Countdown to the Crown,"" the queens take on the week's challenge.",-
US05E14,US05,14,Reunited!,2013-05-06,-,Reunion,-,-,-,main,-,-,-,-,"In ""Reunited!,"" the queens take on the week's challenge.",-
US06E01,US06,1,RuPaul's Big Opening Part 1,2014-02-24,Designing an outfit inspired by a TV show,Design,Jumping off a platform photoshoot,TV Shows,S0052,main,Q0074,-,Decide which contestant will get which themed box,Custom jewel package by Fierce Drag Jewels,"For the maxi challenge, the queens designing an outfit inspired by a TV show. The runway category is TV Shows. Guest judges include Adam Lambert and Mike Ruiz. Kelly Mantle is eliminated.",-
US06E02,US06,2,RuPaul's Big Opening Part 2,2014-03-03,Design an outfit inspired by party supplies,Design,Boudoir pillow fight with the Pit Crew,Party Boxes,S0053,main,Q0073,-,Decide which contestant will get which themed box,"$2,500 Shopping Spree from Fabric Planet","For the maxi challenge, the queens design an outfit inspired by party supplies. The runway category is Party Boxes. Guest judges include Khloe Kardashian. Magnolia Crawford is eliminated.",-
US06E03,US06,3,Scream Queens,2014-03-10,"Star in horror film trailers for ""Drag Race Me to Hell""",Acting,Create beach-themed lip sync in pairs,Best Drag,S0054,main,Q0072,-,Become team leaders and pick team members,5-night stay at Island House Key West Resort,"For the maxi challenge, the queens star in horror film trailers for ""Drag Race Me to Hell"". The runway category is Best Drag. Guest judges include Lena Headey and Linda Blair. Vivacious is eliminated.",-
US06E04,US06,4,Shade: The Rusical,2014-03-17,Performing live in the original production of Shade: The Rusical.,Rusical,Female or She-male?,Tony Awards,S0055,main,Q0071,-,Become team leaders and pick team members,2 VIP packages to the Broadway musical Kinky Boots,"For the maxi challenge, the queens performing live in the original production of Shade: The Rusical. The runway category is Tony Awards. Guest judges include Lucian Piane and Sheryl Lee Ralph. April Carrion is eliminated.",-
US06E05,US06,5,Snatch Game,2014-03-24,Snatch Game,Snatch Game,-,A Night of A Thousand Rupauls,S0056,main,Q0070,-,-,2 Couture outfits from Syren Latex,"The queens play the Snatch Game, impersonating celebrities for laughs. The runway category is A Night of A Thousand Rupauls. Guest judges include Gillian Jacobs and Heather McDonald. Gia Gunn is eliminated.",-
US06E06,US06,6,Oh No She Betta Don't,2014-03-31,"Rapping in teams to ""Oh No She Better Don't""",Song/Verse,Reading is Fundamental,Crazy Sexy Cool,S0057,main,Q0069,-,Become team leader and pick team members,Collection of custom-made Jewelry,"The maxi challenge: Rapping in teams to ""Oh No She Better Don't"". The runway category is Crazy Sexy Cool. Guest judges include Eve ""wikipedia:en:Eve (rapper)"") and Trina. Milk is eliminated.",-
US06E07,US06,7,Glamazon by Colorevolution,2014-04-07,Record an infomercial for Rupaul's Glamazon cosmetics,Acting,Design nails and hand modeling fruits,Black & White,S0058,main,-,-,Extra time to shoot infomercial,Skin Care Products,"For the maxi challenge, the queens record an infomercial for Rupaul's Glamazon cosmetics. The runway category is Black & White. Guest judges include Leah Remini and Lainie Kazan.",-
US06E08,US06,8,Drag Queens of Comedy,2014-04-07,Performing a stand-up comedy act in front of a live audience of elderly people.,Comedy,Lip-sync to a RuPaul song upside down,-,S0059,main,Q0068,-,Decide in which order the contestants will perform,A one-of-a-kind gown designed by Marco Marco,"For the maxi challenge, the queens performing a stand-up comedy act in front of a live audience of elderly people. Guest judges include Bruce Vilanch and Jaime Pressly. Laganja Estranja is eliminated.",-
US06E09,US06,9,Drag Queens of Talk,2014-04-14,Guest hosting The RuPaul Show and interviewing celebrity guests,Acting,“Hung Men” hangman challenge,Animal Kingdom Couture,S0060,main,Q0067,-,Year supply of eyelashes.,Wig wardrobe from Outfiters Wig and a one-year haircare supply from Aquage,"For the maxi challenge, the queens guest hosting* The RuPaul Show and interviewing celebrity guests. The runway category is Animal Kingdom Couture. Guest judges include Chaz Bono, Georgia Holt and Paula Abdul. Trinity K. Bonet is eliminated.",-
US06E10,US06,10,Drag My Wedding,2014-04-21,Transform grooms into brides for a wedding,Makeover,Abstract painting with bodies for marriage equality,Wedding Makeover,S0061,main,Q0066,-,Pair each bride with each contestant,Trip for two to Hawaii (Won by both Bianca & her couple),"For the maxi challenge, the queens transform grooms into brides for a wedding. The runway category is Wedding Makeover. Guest judges include Neil Patrick Harris and David Burtka. Joslyn Fox is eliminated.",-
US06E11,US06,11,Glitter Ball,2014-04-28,Glitter Ball,Design,Everybody Loves Puppets,"Banjee Girl Bling, Platinum Card Executive Realness, and Dripping in Jewels Eleganza",S0062,main,Q0065,-,"Assign jewel tones to each contestant, and choreograph an opening musical number.",A costume from Kicka Custom Design,The maxi challenge: Glitter Ball. Guest judges include Bob Mackie and Khloe Kardashian. BenDeLaCreme is eliminated.,-
US06E12,US06,12,Sissy That Walk!,2014-05-05,"Star in a music video for RuPaul's song ""Sissy That Walk"" and act in two scenes",Finale,-,-,S0063,main,Q0064,-,-,-,"For the maxi challenge, the queens star in a music video for RuPaul's song ""Sissy That Walk"" and act in two scenes. Guest judges include Ian Drew and Our Lady J. Darienne Lake is eliminated.",-
US06E13,US06,13,Countdown to the Crown,2014-05-12,-,Clip Show,-,-,-,main,-,-,-,-,"In ""Countdown To The Crown,"" the queens take on the week's challenge.",-
US06E14,US06,14,The Finale,2014-05-19,-,Finale,-,-,-,main,-,-,-,-,"In ""Reunited!,"" the queens take on the week's challenge.",-
US07E01,US07,1,Born Naked,2015-03-02,Create a resort-wear tearaway to reveal a nude illusion.,Design,Model 2 looks,-,S0064,main,Q0088,-,-,Dekoy Hair Care Products,"For the maxi challenge, the queens create a resort-wear tearaway to reveal a nude illusion. Guest judges include Kathy Griffin. Tempest DuJour is eliminated.",-
US07E02,US07,2,Glamazonian Airways,2015-03-09,Perform in a pre-flight safety video for the first airline run by drag queens,Acting,Keep fish face as Pit Crew blow jets of air into queens faces,Jet Set Eleganza,S0065,main,Q0087,-,-,Five night luxury hotel accommodations courtesy of 'My Gay Getaway',"For the maxi challenge, the queens perform in a pre-flight safety video for the first airline run by drag queens. The runway category is Jet Set Eleganza. Guest judges include Jordin Sparks and Olivia Newton-John. Sasha Belle is eliminated.",-
