moment_id,episode_id,moment_type,description
M0041,US14E13,TWIST,Double elimination: DeJa Skye and Jorgeous sent home.
M0042,US14E14,TWIST,Non-elimination episode: no queen was sent home.
M0043,US14E15,OTHER,Reunion episode revisiting the season and its contestants.
M0044,US14E16,TWIST,"Multiple eliminations: Angeria Paris VanMicheals, Bosco, and Daya Betty sent home."
M0045,US14E16,OTHER,Grand finale: the winner of the season is crowned.
M0046,US15E04,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0047,US15E14,TWIST,Non-elimination episode: no queen was sent home.
M0048,US15E15,OTHER,Reunion episode revisiting the season and its contestants.
M0049,US15E16,TWIST,Double elimination: Luxx Noir London & Mistress Isabelle Brooks sent home.
M0050,US15E16,OTHER,Grand finale: the winner of the season is crowned.
M0051,US17E07,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0052,US17E13,TWIST,Non-elimination episode: no queen was sent home.
M0053,US17E15,TWIST,"Premiere twist: contestants lip synced upon entering, with the winners eliminating others."
M0054,US17E16,TWIST,Double elimination: Lexi and Sam Star sent home.
M0055,US17E16,OTHER,Grand finale: the winner of the season is crowned.
M0056,US18E08,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0057,US18E15,TWIST,"Premiere twist: contestants lip synced upon entering, with the winners eliminating others."
M0058,US18E16,OTHER,Grand finale: the winner of the season is crowned.
M0059,AS01E05,TWIST,Non-elimination episode: no queen was sent home.
M0060,AS01E06,TWIST,Multiple queens eliminated in one episode: Jujubee and Shannel.
M0061,AS02E02,OTHER,Adore Delano quit and left the competition during this episode.
M0062,AS02E05,RETURN,Tatianna and Alyssa Edwards returned to the competition (lip sync winners and returning queens).
M0063,AS03E01,RETURN,BeBe Zahara Benet returned to the competition (surprise contestant).
M0064,AS03E06,RETURN,Morgan McMichaels returned to the competition (returned).
M0065,AS03E06,OTHER,BenDeLaCreme quit and left the competition during this episode.
M0066,AS03E08,TWIST,Multiple queens eliminated in one episode: BeBe Zahara Benet and Shangela.
M0067,AS04E05,TWIST,Non-elimination episode: no queen was sent home.
M0068,AS04E06,RETURN,Latrice Royale returned to the competition (returning contestant).
M0069,AS04E06,FIRST,"Lip Sync One: Trinity vs Jasmine Lip Sync Two: Valentina vs Farrah Lip Sync Three: Naomi vs Gia Lip Sync Four: Monique vs Latrice For the first time in Drag Race Herstory, all of the eliminated All Stars get a chance to return to the compet"
M0070,AS04E10,TWIST,Multiple queens eliminated in one episode: Monique Heart and Naomi Smalls.
M0071,AS06E11,RETURN,Eureka returned to the competition (returned).
M0072,AS07E02,FIRST,"- Guest Judge: Daphne Guinness - Maxi Challenge: The queens must give two celebrity impersonations in the Snatch Game - Runway Theme: The Pleather Principle - Top Two: Jinkx Monsoon and Trinity The Tuck - Lip Sync Song: ""Rumor Has It"" by Ad"
M0073,AS07E10,FIRST,"- Special Guest: Wintergreen - Guest Judge: Ronan Farrow - Maxi Challenge: Roast each other at the first-ever Kennedy Davenport Center ""Hall of Shade"" Honors - Runway Theme: All Glow'd Up - Top Two: Jinkx Monsoon and Trinity The Tuck - Lip"
M0074,AS07E11,TWIST,"Multiple queens eliminated in one episode: Jaida Essence Hall, Raja, The Vivienne & Yvie Oddly."
M0075,AS08E05,OTHER,Heidi N Closet quit and left the competition during this episode.
M0076,AS10E03,TWIST,"Multiple queens eliminated in one episode: DeJa Skye, Olivia Lux, and Phoenix."
M0077,AS10E06,TWIST,"Multiple queens eliminated in one episode: Kerri Colby, Nicole Paige Brooks, and Tina Burner."
M0078,AS10E09,TWIST,"Multiple queens eliminated in one episode: Acid Betty, Alyssa Hunter and Denali."
M0079,AS10E12,RETURN,Kerri Colby returned to the competition (wildcard return).
M0080,AS11E03,TWIST,"Multiple queens eliminated in one episode: Lucky Starzzz, Morgan McMichaels, Morphine Love Dion, and Mystique Summers."
M0081,AS11E06,TWIST,"Multiple queens eliminated in one episode: April Carrion, Aura Mayari, Salina EsTitties, and Vivacious."
M0082,US10E01,RETURN,The season premiere brought back fan-favorite queens from past seasons for the entrance runway.
M0083,US10E01,FIRST,"Vanessa Vanjie Mateo was the first queen eliminated, exiting with the viral 'Miss Vanjie' walk-off."
M0084,US10E09,TWIST,Non-elimination episode: both bottom queens were saved and no one went home.
M0085,US10E14,TWIST,The finale was decided by a lip-sync smackdown bracket among the top four.
M0086,US11E08,TWIST,Non-elimination episode following Snatch Game at Sea: no queen was eliminated.
M0087,US11E14,TWIST,The finale was decided by a lip-sync smackdown bracket among the top four.
M0088,US15E09,RECORD,The Crystal Ball marked the milestone 200th episode of RuPaul's Drag Race.
M0089,US16E16,FIRST,"Sapphira Cristal and Xunami Muse were both named Miss Congeniality, the first double winners of the title."
M0090,US16E01,TWIST,The cast was split into two groups that competed separately before merging.
